Fani ,pick,panna,second,length,parity,fani diff,pick diff,fani rate ,pick less than 12,remaining pick ,remaining pick,pick cost,panna diff,panna cost,final cost 
60,52,44,2,7.8,156,4,4,2.5,4,-8,0,3,3,4.5,126.9152542373
54,44,44,2,7.5,160,10,12,6.25,12,0,0,9,3,4.5,117.1610169492
